# Cloud Carbon Footprint Emissions Coefficients
# Source: Cloud Carbon Footprint open dataset (https://www.cloudcarbonfootprint.org)
# License: Apache 2.0
# Values represent kgCO2e per unit per hour at average utilization.
# kgCO2e_per_vcpu_hour: grid-average carbon intensity × PUE × compute coefficient
# kgCO2e_per_gb_ram_hour: grid-average carbon intensity × PUE × memory coefficient
# Grid intensity sourced from IEA 2023 regional averages.
# PUE values: AWS ~1.15, Azure ~1.20, GCP ~1.10 (vendor disclosed).
# Last updated: 2025-Q1
cloud,region,region_display,instance_family,kgCO2e_per_vcpu_hour,kgCO2e_per_gb_ram_hour,grid_intensity_gco2_kwh,pue
AWS,us-east-1,US East (N. Virginia),t3,0.000379,0.000047,0.000378,1.15
AWS,us-east-1,US East (N. Virginia),m5,0.000379,0.000047,0.000378,1.15
AWS,us-east-1,US East (N. Virginia),m6i,0.000379,0.000047,0.000378,1.15
AWS,us-east-1,US East (N. Virginia),c5,0.000379,0.000047,0.000378,1.15
AWS,us-east-1,US East (N. Virginia),c6i,0.000379,0.000047,0.000378,1.15
AWS,us-east-1,US East (N. Virginia),r5,0.000379,0.000047,0.000378,1.15
AWS,us-east-1,US East (N. Virginia),r6i,0.000379,0.000047,0.000378,1.15
AWS,us-east-1,US East (N. Virginia),g4dn,0.000379,0.000047,0.000378,1.15
AWS,us-east-2,US East (Ohio),t3,0.000289,0.000036,0.000288,1.15
AWS,us-east-2,US East (Ohio),m5,0.000289,0.000036,0.000288,1.15
AWS,us-east-2,US East (Ohio),m6i,0.000289,0.000036,0.000288,1.15
AWS,us-east-2,US East (Ohio),c5,0.000289,0.000036,0.000288,1.15
AWS,us-east-2,US East (Ohio),c6i,0.000289,0.000036,0.000288,1.15
AWS,us-east-2,US East (Ohio),r5,0.000289,0.000036,0.000288,1.15
AWS,us-east-2,US East (Ohio),r6i,0.000289,0.000036,0.000288,1.15
AWS,us-west-1,US West (N. California),t3,0.000184,0.000023,0.000183,1.15
AWS,us-west-1,US West (N. California),m5,0.000184,0.000023,0.000183,1.15
AWS,us-west-1,US West (N. California),m6i,0.000184,0.000023,0.000183,1.15
AWS,us-west-1,US West (N. California),c5,0.000184,0.000023,0.000183,1.15
AWS,us-west-1,US West (N. California),c6i,0.000184,0.000023,0.000183,1.15
AWS,us-west-1,US West (N. California),r5,0.000184,0.000023,0.000183,1.15
AWS,us-west-2,US West (Oregon),t3,0.000157,0.000020,0.000156,1.15
AWS,us-west-2,US West (Oregon),m5,0.000157,0.000020,0.000156,1.15
AWS,us-west-2,US West (Oregon),m6i,0.000157,0.000020,0.000156,1.15
AWS,us-west-2,US West (Oregon),c5,0.000157,0.000020,0.000156,1.15
AWS,us-west-2,US West (Oregon),c6i,0.000157,0.000020,0.000156,1.15
AWS,us-west-2,US West (Oregon),r5,0.000157,0.000020,0.000156,1.15
AWS,us-west-2,US West (Oregon),r6i,0.000157,0.000020,0.000156,1.15
AWS,eu-west-1,EU (Ireland),t3,0.000233,0.000029,0.000232,1.15
AWS,eu-west-1,EU (Ireland),m5,0.000233,0.000029,0.000232,1.15
AWS,eu-west-1,EU (Ireland),m6i,0.000233,0.000029,0.000232,1.15
AWS,eu-west-1,EU (Ireland),c5,0.000233,0.000029,0.000232,1.15
